case,source,fault_set_size,order_invariant,stopped,fault_sequence
accept-profile,decision-path,0,false,accepted,
accept-profile-with-signer-pin,decision-path,0,false,accepted,
canonical-mismatch,decision-path,1,true,accepted,CANONICAL_FORM_MISMATCH
hash-mismatch,decision-path,1,true,accepted,HASH_MISMATCH
metadata-invalid-json,decision-path,1,true,accepted,METADATA_INVALID_JSON
metadata-not-object,decision-path,1,true,accepted,METADATA_NOT_OBJECT
missing-canonical,decision-path,1,true,accepted,REQUIRED_ENTRY_MISSING
overt-content-hash-mismatch,decision-path,1,true,accepted,OVERT_INVALID
overt-signature-invalid,decision-path,1,true,accepted,OVERT_SIGNATURE_INVALID
overt-signature-missing,decision-path,1,true,accepted,OVERT_SIGNATURE_REQUIRED
pqc-half-pair,decision-path,1,true,accepted,PQC_PAIR_INCOMPLETE
rsa-signature-invalid,decision-path,1,true,accepted,RSA_SIGNATURE_INVALID
signer-pin-mismatch,decision-path,0,false,accepted,
timestamp-cert-missing,decision-path,1,true,accepted,TSA_CERT_MISSING
timestamp-empty,decision-path,1,true,accepted,TSA_MISSING_OR_INVALID
timestamp-imprint-mismatch,decision-path,1,true,accepted,TSA_IMPRINT_MISMATCH
timestamp-signature-invalid,decision-path,1,true,accepted,TSA_SIGNATURE_INVALID
zip-duplicate-entry,decision-path,1,true,unrepairable:ZIP_INVALID_OR_UNSAFE,ZIP_INVALID_OR_UNSAFE
zip-not-an-archive,decision-path,1,true,unrepairable:ZIP_INVALID_OR_UNSAFE,ZIP_INVALID_OR_UNSAFE
zip-too-many-entries,decision-path,1,true,unrepairable:ZIP_INVALID_OR_UNSAFE,ZIP_INVALID_OR_UNSAFE
zip-unsafe-name,decision-path,1,true,unrepairable:ZIP_INVALID_OR_UNSAFE,ZIP_INVALID_OR_UNSAFE
naive-empty-timestamp,path-shadowing,1,true,repair-had-no-effect:OVERT_INVALID,OVERT_INVALID
naive-remove-receipt-signature,path-shadowing,1,true,accepted,OVERT_INVALID
refined-empty-timestamp,path-shadowing,1,true,accepted,TSA_MISSING_OR_INVALID
refined-remove-receipt-signature,path-shadowing,1,true,accepted,OVERT_SIGNATURE_REQUIRED
